;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;20;2032;1995;1124;3601.02;3584.7;16.305;6682;10524;0.0182087
Inst_4P_10C_1H_2PP_2Co_11.data;OPT;14;1979;1979;887;1711.03;1706.09;4.93267;4140;8531;0
Inst_4P_10C_1H_2PP_2Co_1.data;OPT;13;1290;1290;633;227.562;221.04;6.5163;480;3257;0
Inst_4P_10C_1H_2PP_2Co_2.data;OPT;11;1764;1764;810;64.4632;61.7726;2.68391;1560;5300;0
Inst_4P_10C_1H_2PP_2Co_3.data;OPT;17;1596;1596;753;428.641;425.422;3.21014;1725;5168;0
Inst_4P_10C_1H_2PP_2Co_4.data;;13;1378;1365;611;3601.01;3591.68;9.32263;1034;6786;0.00943396
Inst_4P_10C_1H_2PP_2Co_5.data;OPT;36;1575;1575;876;2559.75;2546.12;13.6165;982;7424;0
Inst_4P_10C_1H_2PP_2Co_7.data;OPT;18;1495;1495;769;180.727;174.458;6.26185;975;4481;0
Inst_4P_10C_1H_2PP_2Co_8.data;;113;1725;1722;810;3606.1;3568.12;37.9544;1174;8004;0.00173913
Inst_4P_10C_1H_2PP_2Co_9.data;OPT;13;2222;2222;1190;247.686;236.701;10.9759;2280;6485;0
