;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;107;2029;1901;1065;3601.04;3573.6;27.4095;2535;10328;0.0630853
Inst_4P_10C_1H_2PP_2Co_11.data;;93;1980;1979;868;3601.02;3591.51;9.49644;2100;8750;0.000505051
Inst_4P_10C_1H_2PP_2Co_1.data;OPT;92;1290;1290;616;248.457;240.494;7.94536;525;3448;0
Inst_4P_10C_1H_2PP_2Co_2.data;OPT;40;1764;1764;810;112.691;110.283;2.39889;555;3896;0
Inst_4P_10C_1H_2PP_2Co_3.data;OPT;97;1596;1596;678;1471.69;1467.1;4.57042;1140;6622;0
Inst_4P_10C_1H_2PP_2Co_4.data;OPT;69;1375;1375;611;1944.05;1938.3;5.73114;352;4887;0
Inst_4P_10C_1H_2PP_2Co_5.data;OPT;76;1575;1575;876;2706.4;2697.69;8.69095;524;4757;0
Inst_4P_10C_1H_2PP_2Co_7.data;OPT;63;1495;1495;759;429.256;424.922;4.32116;692;4069;0
Inst_4P_10C_1H_2PP_2Co_8.data;;279;1725;1680;810;3601.08;3590.06;10.9736;662;7668;0.026087
Inst_4P_10C_1H_2PP_2Co_9.data;OPT;48;2222;2222;1143;587.259;583.6;3.64826;780;4542;0
