;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_2H_2PP_3Co_10.data;;37;3000;2408;1754;3610.14;3439.21;170.887;18699;35919;0.197333
Inst_6P_20C_2H_2PP_3Co_11.data;;26;2345;1781;1039;3601.05;3521.24;79.786;9992;20255;0.240512
Inst_6P_20C_2H_2PP_3Co_12.data;;47;3097;2396;1790;3601.06;3275.34;325.667;18358;39284;0.226348
Inst_6P_20C_2H_2PP_3Co_3.data;;27;2444;1902;1122;3601.03;3528;73.009;10568;24053;0.221768
Inst_6P_20C_2H_2PP_3Co_4.data;;46;2883;2283;1463;3601.05;3350.18;250.834;17256;33557;0.208117
Inst_6P_20C_2H_2PP_3Co_5.data;;42;2978;2149;1506;3603.28;3516.46;86.799;11387;18031;0.278375
Inst_6P_20C_2H_2PP_3Co_6.data;;44;3680;3225;2092;3601.04;3533.93;67.085;15390;25704;0.123641
Inst_6P_20C_2H_2PP_3Co_7.data;;70;2740;2300;1452;3601.04;3499.8;101.211;10966;17568;0.160584
Inst_6P_20C_2H_2PP_3Co_8.data;;32;2488;2028;1238;3601.04;2943.37;657.646;11967;29243;0.184887
Inst_6P_20C_2H_2PP_3Co_9.data;;57;2567;2216;1276;3601.04;3492.89;108.124;10209;21802;0.136735
