;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_2H_2PP_3Co_10.data;;45;3418;2277;1754;3601.13;3373.03;228.035;19511;48691;0.333821
Inst_6P_20C_2H_2PP_3Co_11.data;;33;2638;1665;1039;3601.12;3329.16;271.872;18797;35954;0.36884
Inst_6P_20C_2H_2PP_3Co_12.data;;62;3471;2287;1790;3601.16;3253.1;347.98;14923;45487;0.341112
Inst_6P_20C_2H_2PP_3Co_3.data;;26;2816;1807;1122;3601.06;3428.7;172.319;13331;33027;0.35831
Inst_6P_20C_2H_2PP_3Co_4.data;;64;3093;2195;1463;3601.1;3176.65;424.365;21724;50489;0.290333
Inst_6P_20C_2H_2PP_3Co_5.data;;53;3079;2050;1506;3601.09;3355.72;245.327;15441;36121;0.334199
Inst_6P_20C_2H_2PP_3Co_6.data;;126;4113;3003;2092;3601.12;3363.85;237.178;36690;57082;0.269876
Inst_6P_20C_2H_2PP_3Co_7.data;;106;3626;2100;1452;3601.08;3367.77;233.248;26596;33961;0.420849
Inst_6P_20C_2H_2PP_3Co_8.data;;63;2955;1940;1238;3601.09;3068.19;532.84;22719;47980;0.343486
Inst_6P_20C_2H_2PP_3Co_9.data;;43;3020;2063;1276;3603.16;3383.02;220.087;24278;44642;0.316887
