;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;123;2960;2205;1150;3601.23;3502.33;98.7448;85768;80586;0.255068
Inst_2P_30C_1H_2PP_2Co_12.data;;126;4509;3064;1787;3601.16;3497.87;103.146;105178;51052;0.32047
Inst_2P_30C_1H_2PP_2Co_13.data;;134;4065;3516;1888;3601.18;3479.84;121.209;118360;74060;0.135055
Inst_2P_30C_1H_2PP_2Co_16.data;;123;3328;2996;1491;3601.16;3535.25;65.8005;60216;33710;0.0997596
Inst_2P_30C_1H_2PP_2Co_17.data;;136;3046;2103;1117;3601.15;3455.04;145.994;77946;59029;0.309586
Inst_2P_30C_1H_2PP_2Co_1.data;;116;4008;2314;1254;3601.18;3544.12;56.9187;55478;42879;0.422655
Inst_2P_30C_1H_2PP_2Co_2.data;;56;2893;2543;1306;3601.12;3503.86;97.1557;59019;86052;0.120982
Inst_2P_30C_1H_2PP_2Co_5.data;;142;3270;2657;1547;3601.23;3478.56;122.481;92172;83376;0.187462
Inst_2P_30C_1H_2PP_2Co_8.data;;129;3819;3016;1676;3601.18;3511.55;89.5079;88671;76304;0.210264
Inst_2P_30C_1H_2PP_2Co_9.data;;115;3417;2916;1544;3601.15;3530.1;70.9365;82988;52704;0.14662
