;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;145;2566;2192;1150;3601.04;3593.22;7.79344;14439;13314;0.145752
Inst_2P_30C_1H_2PP_2Co_12.data;;122;3417;3094;1787;3601.02;3591.84;9.16487;16144;9772;0.0945274
Inst_2P_30C_1H_2PP_2Co_13.data;;109;3771;3677;1888;3601.04;3593.99;7.01918;14450;15800;0.0249271
Inst_2P_30C_1H_2PP_2Co_16.data;;80;3299;3110;1491;3601.18;3596.22;4.94508;8504;12218;0.0572901
Inst_2P_30C_1H_2PP_2Co_17.data;;126;2385;2105;1117;3601.03;3590.6;10.411;9876;15075;0.1174
Inst_2P_30C_1H_2PP_2Co_1.data;;82;3963;2159;1254;3601.03;3597.38;3.63849;9684;6680;0.455211
Inst_2P_30C_1H_2PP_2Co_2.data;;133;2819;2747;1306;3601.04;3187.4;413.616;12734;22305;0.025541
Inst_2P_30C_1H_2PP_2Co_5.data;;155;2968;2817;1547;3601.03;3471.08;129.929;17166;13305;0.050876
Inst_2P_30C_1H_2PP_2Co_8.data;;127;3526;3004;1676;3608.89;1083.53;2525.32;17445;22752;0.148043
Inst_2P_30C_1H_2PP_2Co_9.data;;71;3233;3055;1544;3601.03;3596.35;4.66529;9224;13320;0.0550572
