;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;55;10000;1860;1153;3601.17;3595.31;5.83375;8645;7333;0.814
Inst_2P_30C_1H_2PP_2Co_12.data;;66;10000;2583;1794;3601.04;3592.28;8.72779;16000;6358;0.7417
Inst_2P_30C_1H_2PP_2Co_13.data;;78;10000;3137;1888;3603.27;3596.12;7.10811;23685;7430;0.6863
Inst_2P_30C_1H_2PP_2Co_16.data;;45;10000;2576;1491;3601.02;3598.52;2.48856;11038;3737;0.7424
Inst_2P_30C_1H_2PP_2Co_17.data;;58;10000;1906;1117;3601.03;3596.72;4.29419;10443;4152;0.8094
Inst_2P_30C_1H_2PP_2Co_1.data;;31;10000;1920;1254;3601.03;3598.18;2.83118;5335;4755;0.808
Inst_2P_30C_1H_2PP_2Co_2.data;;70;10000;2329;1312;3601.04;3594.74;6.27651;13533;9094;0.7671
Inst_2P_30C_1H_2PP_2Co_5.data;;36;10000;2203;1547;3601.03;3597;4.02331;5802;4575;0.7797
Inst_2P_30C_1H_2PP_2Co_8.data;;94;10000;2607;1907;3601.05;3589.21;11.8067;15120;10051;0.7393
Inst_2P_30C_1H_2PP_2Co_9.data;;55;10000;2553;1544;3610.77;3606.05;4.70372;18000;4353;0.7447
