;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_11.data;OPT;15;1500;1500;680;224.669;206.826;17.8335;3045;6629;0
Inst_6P_10C_2H_2PP_3Co_12.data;OPT;18;1708;1708;800;143.375;128.002;15.3649;2469;5294;0
Inst_6P_10C_2H_2PP_3Co_14.data;;18;1948;1900;847;3601.13;3578.73;22.3599;3884;7714;0.0246407
Inst_6P_10C_2H_2PP_3Co_16.data;OPT;14;2284;2284;837;326.513;310.916;15.5832;2940;6235;0
Inst_6P_10C_2H_2PP_3Co_18.data;OPT;16;1865;1865;840;757.268;750.415;6.8408;3077;6918;0
Inst_6P_10C_2H_2PP_3Co_1.data;OPT;17;1858;1858;637;1793.07;1777.09;15.965;3290;7071;0
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;13;1416;1416;697;26.8735;17.8336;9.03487;1212;4196;0
Inst_6P_10C_2H_2PP_3Co_5.data;;20;2107;2002;863;3601.03;3574.68;26.3315;7356;11707;0.0498339
Inst_6P_10C_2H_2PP_3Co_7.data;OPT;12;1782;1782;615;44.929;27.2898;17.6305;4350;5725;0
Inst_6P_10C_2H_2PP_3Co_8.data;OPT;14;1875;1875;803;153.723;140.773;12.9443;1925;5508;0
