;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_11.data;OPT;22;1500;1500;680;196.622;195.631;0.98293;3145;5436;0
Inst_6P_10C_2H_2PP_3Co_12.data;OPT;25;1708;1708;800;39.307;38.2587;1.04134;2679;3517;0
Inst_6P_10C_2H_2PP_3Co_14.data;OPT;19;1948;1948;847;1738.88;1737.91;0.960268;3111;5243;0
Inst_6P_10C_2H_2PP_3Co_16.data;OPT;24;2284;2284;837;711.49;710.555;0.926963;2820;3873;0
Inst_6P_10C_2H_2PP_3Co_18.data;OPT;23;1865;1865;840;246.016;244.984;1.02485;3490;6184;0
Inst_6P_10C_2H_2PP_3Co_1.data;OPT;29;1858;1858;637;601.908;600.615;1.28527;2810;5092;0
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;15;1416;1416;697;10.0818;9.85211;0.225532;1536;3872;0
Inst_6P_10C_2H_2PP_3Co_5.data;OPT;23;2093;2093;863;2976.58;2974.75;1.82629;5676;8142;0
Inst_6P_10C_2H_2PP_3Co_7.data;OPT;21;1782;1782;615;21.2093;20.5212;0.679354;3742;3535;0
Inst_6P_10C_2H_2PP_3Co_8.data;OPT;19;1875;1875;803;166.886;165.987;0.893727;1865;4404;0
