;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_11.data;OPT;24;1500;1500;680;158.894;157.965;0.923406;2933;6180;0
Inst_6P_10C_2H_2PP_3Co_12.data;OPT;21;1708;1708;800;26.468;25.8997;0.562137;2508;4976;0
Inst_6P_10C_2H_2PP_3Co_14.data;OPT;21;1948;1948;847;545.239;543.998;1.23582;3524;7561;0
Inst_6P_10C_2H_2PP_3Co_16.data;OPT;21;2284;2284;837;413.969;413.422;0.543671;2790;4023;0
Inst_6P_10C_2H_2PP_3Co_18.data;OPT;21;1865;1865;840;184.218;183.425;0.789053;2724;6603;0
Inst_6P_10C_2H_2PP_3Co_1.data;OPT;21;1858;1858;637;375.3;374;1.29601;3422;8363;0
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;13;1416;1416;697;7.26793;6.99271;0.271858;1266;4367;0
Inst_6P_10C_2H_2PP_3Co_5.data;OPT;23;2093;2093;863;5403.94;5401.97;1.96235;6570;10625;0
Inst_6P_10C_2H_2PP_3Co_7.data;OPT;20;1782;1782;615;17.0286;16.2424;0.779932;4252;5961;0
Inst_6P_10C_2H_2PP_3Co_8.data;OPT;17;1875;1875;803;88.8805;88.0321;0.845462;1655;4495;0
