;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_11.data;OPT;24;1500;1500;680;121.492;120.227;1.25458;3470;6464;0
Inst_6P_10C_2H_2PP_3Co_12.data;OPT;20;1708;1708;800;25.658;24.7438;0.908427;2112;5107;0
Inst_6P_10C_2H_2PP_3Co_14.data;OPT;20;1948;1948;847;1317.06;1315.69;1.36345;3531;8112;0
Inst_6P_10C_2H_2PP_3Co_16.data;OPT;20;2284;2284;837;592.318;591.537;0.775541;2610;4183;0
Inst_6P_10C_2H_2PP_3Co_18.data;OPT;21;1865;1865;840;169.133;168.062;1.06309;2521;6688;0
Inst_6P_10C_2H_2PP_3Co_1.data;OPT;29;1858;1858;637;433.112;431.641;1.46375;3337;7007;0
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;14;1416;1416;697;8.18372;7.80049;0.379264;1326;4347;0
Inst_6P_10C_2H_2PP_3Co_5.data;;25;2093;2041;863;3601.02;3598.56;2.44959;6054;9749;0.0248447
Inst_6P_10C_2H_2PP_3Co_7.data;OPT;18;1782;1782;615;13.7718;13.1124;0.653207;3952;5517;0
Inst_6P_10C_2H_2PP_3Co_8.data;OPT;18;1875;1875;803;56.5147;55.6243;0.885286;1835;4839;0
