;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_2H_2PP_2Co_10.data;;43;4728;2643;1868;3601.04;3562.63;38.3949;3261;9963;0.44099
Inst_4P_30C_2H_2PP_2Co_11.data;;70;4507;3260;2351;3601.04;3559.54;41.4879;6423;11231;0.276681
Inst_4P_30C_2H_2PP_2Co_12.data;;11;5602;3039;2345;3601.03;3579.55;21.4723;2229;10557;0.457515
Inst_4P_30C_2H_2PP_2Co_1.data;;22;5346;3054;2163;3601.04;3588.53;12.5004;2901;8313;0.428732
Inst_4P_30C_2H_2PP_2Co_2.data;;32;4998;2395;2187;3601.04;3583.94;17.0854;3974;8527;0.520808
Inst_4P_30C_2H_2PP_2Co_3.data;;27;4153;3094;2219;3601.03;3573.47;27.5487;4962;8433;0.254996
Inst_4P_30C_2H_2PP_2Co_4.data;;30;5682;3593;2832;3601.03;3583.91;17.1111;5193;8912;0.367652
Inst_4P_30C_2H_2PP_2Co_5.data;;102;6194;3905;2809;3601.04;3524.39;76.6219;13332;9794;0.369551
Inst_4P_30C_2H_2PP_2Co_6.data;;59;4871;2984;2527;3601.03;3587.6;13.418;4062;7095;0.387395
Inst_4P_30C_2H_2PP_2Co_9.data;;26;5464;3184;2259;3601.03;3585.04;15.9804;5264;8204;0.417277
