;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_2H_2PP_2Co_10.data;;17;10000;2462;1868;3601.06;3588.09;12.9575;1116;4953;0.7538
Inst_4P_30C_2H_2PP_2Co_11.data;;18;10000;3107;2351;3601.04;3588.95;12.0737;1905;4820;0.6893
Inst_4P_30C_2H_2PP_2Co_12.data;;12;10000;2852;2345;3601.1;3596.65;4.44671;873;3837;0.7148
Inst_4P_30C_2H_2PP_2Co_1.data;;21;10000;2885;2163;3601.07;3587.79;13.2723;1525;4371;0.7115
Inst_4P_30C_2H_2PP_2Co_2.data;;20;10000;2767;2187;3601.06;3584.72;16.3315;1296;4736;0.7233
Inst_4P_30C_2H_2PP_2Co_3.data;;17;10000;2846;2219;3601.11;3586.98;14.117;1225;4244;0.7154
Inst_4P_30C_2H_2PP_2Co_4.data;;34;10000;3413;2832;3601.04;3571.01;30.0116;2595;5756;0.6587
Inst_4P_30C_2H_2PP_2Co_5.data;;22;10000;3535;2809;3601.05;3574.8;26.235;2056;5357;0.6465
Inst_4P_30C_2H_2PP_2Co_6.data;;9;10000;3075;2527;3601.09;3599.19;1.89582;1200;3268;0.6925
Inst_4P_30C_2H_2PP_2Co_9.data;;22;10000;3079;2259;3601.04;3589.53;11.5008;1647;4724;0.6921
