;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_1H_2PP_3Co_10.data;;9;2538;1996;1242;3601.02;3567.1;33.9094;1890;6374;0.213554
Inst_6P_20C_1H_2PP_3Co_11.data;;16;2920;2430;1445;3601.02;3584.24;16.7683;3940;7861;0.167808
Inst_6P_20C_1H_2PP_3Co_12.data;;11;2863;1956;1278;3601.02;3595.24;5.76967;1471;4097;0.316801
Inst_6P_20C_1H_2PP_3Co_1.data;;18;3010;2499;1420;3601.02;3573.1;27.9101;4128;7035;0.169767
Inst_6P_20C_1H_2PP_3Co_2.data;;11;2439;1908;1084;3601.02;3591.06;9.95484;2054;6217;0.217712
Inst_6P_20C_1H_2PP_3Co_3.data;;12;2855;2091;1119;3601.02;3592.57;8.44257;3717;7086;0.267601
Inst_6P_20C_1H_2PP_3Co_4.data;;8;2950;2278;1442;3601.02;3589.12;11.8922;2622;5369;0.227797
Inst_6P_20C_1H_2PP_3Co_5.data;;7;3228;2606;1709;3601.01;3588.95;12.0545;2858;5489;0.192689
Inst_6P_20C_1H_2PP_3Co_8.data;;15;3326;2681;1713;3601.02;3589.93;11.0776;2980;7052;0.193927
Inst_6P_20C_1H_2PP_3Co_9.data;;14;2617;2234;1287;3601.03;3591.56;9.45808;3135;5640;0.146351
