;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_1H_2PP_3Co_10.data;;43;2357;1996;1241;3601.05;3106.89;494.129;9765;27616;0.153161
Inst_6P_20C_1H_2PP_3Co_11.data;;48;2710;2398;1445;3601.04;3496.41;104.602;13828;27553;0.115129
Inst_6P_20C_1H_2PP_3Co_12.data;;46;2484;2053;1278;3601.05;3434.5;166.513;16359;31298;0.17351
Inst_6P_20C_1H_2PP_3Co_1.data;;45;2858;2575;1420;3601.05;3492.5;108.514;19107;32958;0.0990203
Inst_6P_20C_1H_2PP_3Co_2.data;;56;2216;1897;1084;3601.06;3446.62;154.391;19104;36796;0.143953
Inst_6P_20C_1H_2PP_3Co_3.data;;40;2456;2067;1119;3601.04;3539.95;61.0623;18450;30379;0.158388
Inst_6P_20C_1H_2PP_3Co_4.data;;54;2634;2391;1402;3601.05;3351.33;249.694;16203;30755;0.0922551
Inst_6P_20C_1H_2PP_3Co_5.data;;61;3009;2663;1706;3601.05;3404.3;196.711;23876;38147;0.114988
Inst_6P_20C_1H_2PP_3Co_8.data;;53;3024;2705;1712;3601.04;3485.61;115.397;15250;31452;0.105489
Inst_6P_20C_1H_2PP_3Co_9.data;;43;2496;2206;1282;3601.05;3524.63;76.3899;16585;26066;0.116186
