;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_20C_2H_2PP_3Co_12.data;OPT;17;2984;2984;1604;2306.7;2303.73;2.95005;6998;16441;0
Inst_6P_20C_2H_2PP_3Co_14.data;;22;2830;2321;1193;3601.05;3599.3;1.73181;6903;17886;0.179859
Inst_6P_20C_2H_2PP_3Co_17.data;;17;2900;2899;1421;3606.48;3601.43;5.02357;9118;22402;0.000344828
Inst_6P_20C_2H_2PP_3Co_22.data;;39;3974;2666;1479;3601.06;3599.3;1.73835;6529;15337;0.329139
Inst_6P_20C_2H_2PP_3Co_24.data;;25;2655;2521;1321;3601.05;3598.26;2.7695;8346;20063;0.0504708
Inst_6P_20C_2H_2PP_3Co_25.data;;19;3887;2070;1266;3601.05;3600.14;0.900221;2410;8200;0.467456
Inst_6P_20C_2H_2PP_3Co_26.data;;24;3534;1922;1187;3601.04;3599.31;1.71964;5412;15043;0.45614
Inst_6P_20C_2H_2PP_3Co_27.data;;15;4156;2440;1395;3601.05;3600.14;0.901908;7101;10769;0.412897
Inst_6P_20C_2H_2PP_3Co_8.data;;16;4465;2927;1463;3601.04;3598.87;2.15622;9580;12682;0.344457
Inst_6P_20C_2H_2PP_3Co_9.data;;19;3132;2929;1478;3601.07;3597.97;3.07468;10390;16761;0.0648148
