;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_1H_2PP_2Co_10.data;;100;3505;2953;2120;3601.1;2608.14;992.876;38686;57300;0.157489
Inst_4P_30C_1H_2PP_2Co_11.data;;128;3924;3344;2527;3601.12;2406.36;1194.65;40883;56976;0.147808
Inst_4P_30C_1H_2PP_2Co_12.data;;100;4238;3542;2669;3601.41;2326.85;1274.47;45240;53358;0.164228
Inst_4P_30C_1H_2PP_2Co_13.data;;171;5415;4727;3633;3601.12;2607.18;993.826;56899;56392;0.127054
Inst_4P_30C_1H_2PP_2Co_1.data;;140;3858;3449;2413;3601.08;3129.1;471.91;39612;52530;0.106013
Inst_4P_30C_1H_2PP_2Co_2.data;;80;3996;3301;2496;3601.07;1916.41;1684.6;32891;38843;0.173924
Inst_4P_30C_1H_2PP_2Co_3.data;;87;3110;2613;1737;3601.09;2853.39;747.629;30424;46266;0.159807
Inst_4P_30C_1H_2PP_2Co_4.data;;69;3432;2749;1957;3608.69;1375.25;2233.38;32077;41803;0.199009
Inst_4P_30C_1H_2PP_2Co_7.data;;112;3759;3342;2370;3603.03;2753.25;849.68;47345;55310;0.110934
Inst_4P_30C_1H_2PP_2Co_9.data;;111;4139;3620;2545;3603.27;2682.71;920.481;44355;69389;0.125393
