;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_1H_2PP_2Co_10.data;UNK;;2087;1182;;14377.5;;;;;0.433637
Inst_2P_20C_1H_2PP_2Co_11.data;UNK;;2928;1834;;14380.2;;;;;0.373634
Inst_2P_20C_1H_2PP_2Co_12.data;UNK;;13555;2301;;14379;;;;;0.830247
Inst_2P_20C_1H_2PP_2Co_13.data;UNK;;3406;2073;;14379;;;;;0.391368
Inst_2P_20C_1H_2PP_2Co_14.data;UNK;;3221;2153;;14379.3;;;;;0.331574
Inst_2P_20C_1H_2PP_2Co_18.data;UNK;;2927;1980;;14378.6;;;;;0.323539
Inst_2P_20C_1H_2PP_2Co_2.data;UNK;;2715;1551;;14375.8;;;;;0.428729
Inst_2P_20C_1H_2PP_2Co_4.data;UNK;;3031;1888;;12398.2;;;;;0.377103
Inst_2P_20C_1H_2PP_2Co_5.data;UNK;;2537;1616;;12843.5;;;;;0.363027
Inst_2P_20C_1H_2PP_2Co_7.data;UNK;;2961;1825;;13097.2;;;;;0.383654
