;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_1H_2PP_2Co_10.data;;266;1484;1260;740;3601.06;3515.39;85.6228;4206;18528;0.150943
Inst_2P_20C_1H_2PP_2Co_1.data;;110;2238;2174;1109;3601.05;3586.81;14.2151;3714;13674;0.028597
Inst_2P_20C_1H_2PP_2Co_2.data;;249;2018;1804;1076;3601.05;3556.21;44.7964;3890;18419;0.106046
Inst_2P_20C_1H_2PP_2Co_3.data;OPT;66;2211;2211;971;311.201;308.017;3.17422;1314;6016;0
Inst_2P_20C_1H_2PP_2Co_4.data;;126;2134;2081;946;3601.03;3583.64;17.3596;2694;12947;0.024836
Inst_2P_20C_1H_2PP_2Co_5.data;;296;1801;1512;1038;3601.07;3199.38;401.632;3440;24695;0.160466
Inst_2P_20C_1H_2PP_2Co_6.data;;79;2000;1887;1017;3601.05;3592.09;8.9498;1686;8880;0.0565
Inst_2P_20C_1H_2PP_2Co_7.data;;197;2117;1991;1121;3601.05;3545.08;55.9282;4939;22711;0.0595182
Inst_2P_20C_1H_2PP_2Co_8.data;;86;1659;1617;816;3601.03;3402.86;198.149;1157;8379;0.0253165
Inst_2P_20C_1H_2PP_2Co_9.data;;101;2155;2097;1067;3601.03;3576.68;24.3316;1434;9066;0.0269142
