;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_1H_2PP_2Co_10.data;;35;2018;1150;743;3601.01;3596.32;4.6887;810;2232;0.430129
Inst_2P_20C_1H_2PP_2Co_1.data;;96;10000;1873;1109;3601.03;3592.06;8.94818;5624;5328;0.8127
Inst_2P_20C_1H_2PP_2Co_2.data;;43;3152;1688;1076;3601.01;3596.65;4.35696;1034;3194;0.464467
Inst_2P_20C_1H_2PP_2Co_3.data;;37;10000;2009;971;3601.01;3599.44;1.5624;1881;2723;0.7991
Inst_2P_20C_1H_2PP_2Co_4.data;;27;10000;1783;948;3601.01;3598.87;2.13191;1440;2732;0.8217
Inst_2P_20C_1H_2PP_2Co_5.data;;29;2112;1526;1038;3601.01;3596.11;4.89216;724;2700;0.277462
Inst_2P_20C_1H_2PP_2Co_6.data;;33;10000;1700;1017;3601.01;3598.51;2.49932;1077;2905;0.83
Inst_2P_20C_1H_2PP_2Co_7.data;;42;10000;1749;1137;3601.01;3593.75;7.25604;1662;2948;0.8251
Inst_2P_20C_1H_2PP_2Co_8.data;;68;2903;1428;816;3601.02;3563.22;37.7822;1963;3811;0.508095
Inst_2P_20C_1H_2PP_2Co_9.data;;37;3553;1886;1067;3601.01;3597.48;3.52515;1659;3286;0.469181
