;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;46;10000;1480;1107;3601.02;3589.34;11.6759;1871;3272;0.852
Inst_2P_30C_1H_2PP_2Co_1.data;;130;10000;1717;1183;3601.04;3554.57;46.4401;7176;6952;0.8283
Inst_2P_30C_1H_2PP_2Co_2.data;;52;10000;1992;1484;3601.03;3579.65;21.3605;2283;4050;0.8008
Inst_2P_30C_1H_2PP_2Co_3.data;;48;10000;1782;1231;3601.02;3586.29;14.7161;2402;2772;0.8218
Inst_2P_30C_1H_2PP_2Co_4.data;;85;10000;1585;1202;3601.03;3562.8;38.2138;3238;3962;0.8415
Inst_2P_30C_1H_2PP_2Co_5.data;;73;10000;2118;1583;3601.03;3572.45;28.5613;4254;6070;0.7882
Inst_2P_30C_1H_2PP_2Co_6.data;;86;10000;2877;2251;3601.04;3549.52;51.4966;4710;5315;0.7123
Inst_2P_30C_1H_2PP_2Co_7.data;;108;10000;2072;1415;3601.03;3542.68;58.3256;5247;6624;0.7928
Inst_2P_30C_1H_2PP_2Co_8.data;;54;10000;1715;1104;3601.02;3584.29;16.7231;2088;4639;0.8285
Inst_2P_30C_1H_2PP_2Co_9.data;;68;10000;1675;1190;3601.04;3576.65;24.3647;3899;4508;0.8325
