;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;305;2081;1640;1104;3601.08;3232.25;368.759;8053;34048;0.211917
Inst_2P_30C_1H_2PP_2Co_1.data;;363;2335;1823;1180;3610.75;3360.35;250.31;11343;43354;0.219272
Inst_2P_30C_1H_2PP_2Co_2.data;;365;2694;2181;1421;3605.87;2504.28;1101.5;12258;49692;0.190423
Inst_2P_30C_1H_2PP_2Co_3.data;;269;2314;2063;1231;3601.06;3489.57;111.439;7483;25617;0.10847
Inst_2P_30C_1H_2PP_2Co_4.data;;313;2311;1807;1202;3601.14;2304.81;1296.25;11986;41008;0.218087
Inst_2P_30C_1H_2PP_2Co_5.data;;414;2857;2328;1539;3601.1;3292.48;308.528;17129;54172;0.185159
Inst_2P_30C_1H_2PP_2Co_6.data;;305;3428;2933;2251;3601.31;1061.06;2540.16;9935;42437;0.144399
Inst_2P_30C_1H_2PP_2Co_7.data;;240;2658;2131;1412;3705.33;922.475;2782.8;9396;31848;0.198269
Inst_2P_30C_1H_2PP_2Co_8.data;;222;2269;1927;1104;3601.06;3488.9;112.11;5699;27827;0.150727
Inst_2P_30C_1H_2PP_2Co_9.data;;247;2264;1907;1190;3601.06;3285.39;315.615;6940;30202;0.157686
