;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_1H_2PP_2Co_10.data;;84;2063;1650;1104;3604.27;1588.63;2015.57;18753;46674;0.200194
Inst_2P_30C_1H_2PP_2Co_1.data;;174;2304;1920;1180;3601.1;2593.13;1007.88;17806;51842;0.166667
Inst_2P_30C_1H_2PP_2Co_2.data;;154;2671;2265;1421;3605.73;2507.43;1098.2;31125;67621;0.152003
Inst_2P_30C_1H_2PP_2Co_3.data;;75;2295;2084;1231;3601.05;3269.44;331.57;14348;27661;0.091939
Inst_2P_30C_1H_2PP_2Co_4.data;;109;2296;1907;1202;3601.1;2822.17;778.843;30348;56523;0.169425
Inst_2P_30C_1H_2PP_2Co_5.data;;96;2788;2474;1539;3601.09;3258.66;342.355;26748;50218;0.112626
Inst_2P_30C_1H_2PP_2Co_6.data;;150;3525;2990;2251;3616.41;1111.66;2504.64;27085;62448;0.151773
Inst_2P_30C_1H_2PP_2Co_7.data;;86;2590;2253;1412;3601.12;2899.64;701.42;15252;37497;0.130116
Inst_2P_30C_1H_2PP_2Co_8.data;;79;2288;2005;1104;3601.05;3447.84;153.172;7298;26019;0.123689
Inst_2P_30C_1H_2PP_2Co_9.data;;67;2263;1993;1190;3601.05;2888.93;712.079;12146;28032;0.119311
