;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_2H_2PP_2Co_10.data;UNK;;4044;-0;;14385.7;;;;;1
Inst_4P_20C_2H_2PP_2Co_11.data;UNK;;24165;2407;;14337.4;;;;;0.900393
Inst_4P_20C_2H_2PP_2Co_13.data;UNK;;34109;2296;;14378.1;;;;;0.932686
Inst_4P_20C_2H_2PP_2Co_15.data;UNK;;13326;2061;;14347.6;;;;;0.84534
Inst_4P_20C_2H_2PP_2Co_21.data;UNK;;33664;1555;;14353.5;;;;;0.953808
Inst_4P_20C_2H_2PP_2Co_22.data;UNK;;14517;2864;;14382.8;;;;;0.802714
Inst_4P_20C_2H_2PP_2Co_23.data;UNK;;14583;1850;;14365.6;;;;;0.87314
Inst_4P_20C_2H_2PP_2Co_24.data;UNK;;3789;1595;;14356.1;;;;;0.579045
Inst_4P_20C_2H_2PP_2Co_5.data;UNK;;3716;2177;;14324.9;;;;;0.414155
Inst_4P_20C_2H_2PP_2Co_8.data;UNK;;3470;2151;;14304.2;;;;;0.380115
