;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_2H_2PP_2Co_10.data;;21;3081;2848;1528;3601.04;3598.95;2.08177;7701;12835;0.0756248
Inst_4P_20C_2H_2PP_2Co_11.data;;17;4008;3268;1653;3601.03;3599.93;1.09008;7302;11787;0.184631
Inst_4P_20C_2H_2PP_2Co_13.data;;16;3629;3348;1627;3601.04;3598.42;2.6049;9284;15110;0.0774318
Inst_4P_20C_2H_2PP_2Co_15.data;OPT;17;2758;2758;1493;1684.03;1679.23;4.77746;9939;17524;0
Inst_4P_20C_2H_2PP_2Co_21.data;;13;4760;2724;1600;3601.02;3600.03;0.98475;6536;8693;0.427731
Inst_4P_20C_2H_2PP_2Co_22.data;;17;3877;3598;2215;3601.04;3599.13;1.89514;9363;15239;0.0719629
Inst_4P_20C_2H_2PP_2Co_23.data;;17;4155;3095;1873;3601.03;3600.04;0.971368;7060;10746;0.255114
Inst_4P_20C_2H_2PP_2Co_24.data;;26;3145;3111;1631;3601.04;3597.55;3.47415;12990;23676;0.0108108
Inst_4P_20C_2H_2PP_2Co_5.data;;26;3102;2698;1483;3601.03;3598.38;2.63799;8280;11855;0.130239
Inst_4P_20C_2H_2PP_2Co_8.data;;33;3470;2490;1559;3601.04;3599.81;1.21321;6254;11259;0.282421
