;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_2H_2PP_2Co_10.data;;19;2973;2825;1510;3601.07;3567.56;33.4772;10871;13492;0.0497814
Inst_4P_20C_2H_2PP_2Co_11.data;;16;3525;3320;1570;3601.17;3567.73;33.3141;11028;12715;0.058156
Inst_4P_20C_2H_2PP_2Co_13.data;;25;3409;3324;1626;3601.06;3539.32;61.7142;10752;18284;0.024934
Inst_4P_20C_2H_2PP_2Co_15.data;OPT;23;2758;2758;1421;2528.97;2488.43;40.5221;5274;11883;0
Inst_4P_20C_2H_2PP_2Co_21.data;;18;3165;2843;1555;3601.1;3549.63;51.4153;17902;21906;0.101738
Inst_4P_20C_2H_2PP_2Co_22.data;;19;3778;3601;2215;3601.05;3549.5;51.5217;14195;17810;0.0468502
Inst_4P_20C_2H_2PP_2Co_23.data;;14;3655;3312;1873;3601.07;3559.05;41.9907;15178;21886;0.093844
Inst_4P_20C_2H_2PP_2Co_24.data;;26;3145;2988;1595;3601.06;3545.4;55.6313;11836;19576;0.0499205
Inst_4P_20C_2H_2PP_2Co_5.data;;28;2822;2717;1483;3601.08;3526.35;74.6969;13507;18629;0.0372077
Inst_4P_20C_2H_2PP_2Co_8.data;;19;2990;2700;1559;3601.03;3556.06;44.9488;12942;20502;0.09699
