;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_10.data;;52;1259;1128;636;14400;14358.4;41.6349;3149;13170;0.104051
Inst_6P_10C_2H_2PP_3Co_11.data;;92;1398;1353;680;14400;14378.4;21.5742;1365;7802;0.0321888
Inst_6P_10C_2H_2PP_3Co_12.data;OPT;25;1410;1410;649;1301.43;1298.07;3.35011;960;6533;0
Inst_6P_10C_2H_2PP_3Co_13.data;;124;1480;1443;588;14400;14386.3;13.6921;3324;8013;0.025
Inst_6P_10C_2H_2PP_3Co_1.data;OPT;31;1496;1496;637;2937.58;2928.71;8.85919;1428;7353;0
Inst_6P_10C_2H_2PP_3Co_2.data;OPT;31;1400;1400;667;650.36;647.12;3.2356;1137;4760;0
Inst_6P_10C_2H_2PP_3Co_4.data;OPT;28;1426;1426;693;1034.77;1031.49;3.27508;636;5380;0
Inst_6P_10C_2H_2PP_3Co_5.data;;48;1472;1430;863;14400;14332.5;67.4663;3428;12242;0.0285326
Inst_6P_10C_2H_2PP_3Co_7.data;OPT;24;1521;1521;629;8290.49;8282.52;7.95574;3060;7341;0
Inst_6P_10C_2H_2PP_3Co_9.data;OPT;24;1533;1533;675;1856.69;1849.41;7.27731;1605;6502;0
