;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_2H_2PP_3Co_10.data;;25;1385;1059;636;3601.01;3598.54;2.46869;555;2675;0.235379
Inst_6P_10C_2H_2PP_3Co_11.data;;87;10000;1249;680;3601.02;3595.27;5.73943;3525;4873;0.8751
Inst_6P_10C_2H_2PP_3Co_12.data;;47;10000;1239;649;3601.02;3599.22;1.79024;1575;3380;0.8761
Inst_6P_10C_2H_2PP_3Co_13.data;;37;10000;1143;599;3601.01;3597.95;3.054;1483;2679;0.8857
Inst_6P_10C_2H_2PP_3Co_1.data;;85;3019;1303;637;3601.02;3594.59;6.41275;2598;6128;0.5684
Inst_6P_10C_2H_2PP_3Co_2.data;;42;10000;1257;673;3601.02;3599.2;1.80723;1174;2732;0.8743
Inst_6P_10C_2H_2PP_3Co_4.data;;33;1573;1351;693;3601.01;3599.93;1.07125;665;3273;0.141132
Inst_6P_10C_2H_2PP_3Co_5.data;;48;2920;1306;863;3601.02;3562.83;38.1815;1087;4018;0.55274
Inst_6P_10C_2H_2PP_3Co_7.data;;34;10000;1326;629;3601.01;3598.5;2.50187;1500;2878;0.8674
Inst_6P_10C_2H_2PP_3Co_9.data;;33;2795;1374;704;3601.01;3598.34;2.66821;1005;2970;0.508408
