;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_1H_2PP_3Co_11.data;;17;10000;3041;2038;3601.08;3597.97;3.0953;6796;4935;0.6959
Inst_6P_30C_1H_2PP_3Co_14.data;;18;10000;3382;2576;3601.11;3597.31;3.78265;7648;6440;0.6618
Inst_6P_30C_1H_2PP_3Co_16.data;;56;10000;3455;2233;3601.12;3589.31;11.7707;19208;9397;0.6545
Inst_6P_30C_1H_2PP_3Co_1.data;;33;10000;2894;2106;3601.11;3594.72;6.36783;11656;5252;0.7106
Inst_6P_30C_1H_2PP_3Co_20.data;;57;10000;2531;1663;3601.11;3586.59;14.4773;19358;7332;0.7469
Inst_6P_30C_1H_2PP_3Co_21.data;;24;10000;2683;1836;3601.05;3596.13;4.90369;9826;5576;0.7317
Inst_6P_30C_1H_2PP_3Co_3.data;;84;10000;2636;1792;3601.12;3579.93;21.1405;29435;5905;0.7364
Inst_6P_30C_1H_2PP_3Co_4.data;;36;10000;2624;1624;3601.09;3593.78;7.29481;11562;6130;0.7376
Inst_6P_30C_1H_2PP_3Co_8.data;;23;10000;2917;2095;3601.09;3596.96;4.1157;11554;6416;0.7083
Inst_6P_30C_1H_2PP_3Co_9.data;;58;10000;2685;1706;3601.08;3590.36;10.6762;20415;7404;0.7315
