;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_11.data;;47;1981;1760;777;3605.31;3599.81;5.46681;50442;39386;0.11156
Inst_6P_10C_1H_2PP_3Co_12.data;;74;2116;1955;786;3601.09;3593.55;7.48579;50561;40075;0.076087
Inst_6P_10C_1H_2PP_3Co_14.data;;53;2401;2157;836;3601.06;3591.75;9.26375;47458;61899;0.101624
Inst_6P_10C_1H_2PP_3Co_15.data;;68;2341;2114;957;3601.07;3592.8;8.22103;60197;40748;0.0969671
Inst_6P_10C_1H_2PP_3Co_17.data;;92;1648;1447;836;3601.05;3587.48;13.5253;32659;44180;0.121966
Inst_6P_10C_1H_2PP_3Co_19.data;;45;1491;1397;678;3601.04;3596.27;4.74457;17850;23929;0.0630449
Inst_6P_10C_1H_2PP_3Co_4.data;OPT;35;1923;1923;645;321.563;318.576;2.96385;24092;20572;0
Inst_6P_10C_1H_2PP_3Co_5.data;;56;2118;1899;831;3601.06;3593.34;7.66739;52416;43048;0.103399
Inst_6P_10C_1H_2PP_3Co_7.data;OPT;33;1956;1956;628;2110.74;2107.73;2.97984;27660;22046;0
Inst_6P_10C_1H_2PP_3Co_8.data;;54;1950;1889;825;3601.05;3595.32;5.70028;30848;34411;0.0312821
