;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_11.data;;44;1961;1863;777;3601.02;3599.33;1.67713;3246;7511;0.0499745
Inst_6P_10C_1H_2PP_3Co_12.data;;41;2082;1878;786;3601.03;3599.83;1.19557;3281;5937;0.0979827
Inst_6P_10C_1H_2PP_3Co_14.data;;33;2354;2208;836;3601.08;3599.68;1.38825;2756;6249;0.0620221
Inst_6P_10C_1H_2PP_3Co_15.data;;43;2312;2197;957;3601.03;3599.84;1.18052;3099;5183;0.0497405
Inst_6P_10C_1H_2PP_3Co_17.data;;416;1630;1458;836;3606.59;3592.84;13.6729;14920;33686;0.105521
Inst_6P_10C_1H_2PP_3Co_19.data;OPT;37;1475;1475;678;145.181;144.277;0.894234;2280;4720;0
Inst_6P_10C_1H_2PP_3Co_4.data;OPT;28;1923;1923;645;64.3528;63.1399;1.20643;2412;5950;0
Inst_6P_10C_1H_2PP_3Co_5.data;OPT;30;2022;2022;831;647.339;646.109;1.22397;2646;4588;0
Inst_6P_10C_1H_2PP_3Co_7.data;OPT;30;1956;1956;628;162.054;160.996;1.05176;2660;6603;0
Inst_6P_10C_1H_2PP_3Co_8.data;OPT;38;1950;1950;825;653.851;652.668;1.17175;2374;5957;0
