;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_2H_2PP_2Co_10.data;;15;1799;1671;980;3601.02;3587.08;13.93;3120;8053;0.0711506
Inst_4P_10C_2H_2PP_2Co_1.data;;19;1589;1523;808;3601.02;3587.48;13.5273;3870;11153;0.0415356
Inst_4P_10C_2H_2PP_2Co_2.data;;13;1730;1657;888;3601.01;3596.34;4.66236;3630;8130;0.0421965
Inst_4P_10C_2H_2PP_2Co_3.data;;38;1476;1468;662;3601.02;3588.34;12.666;2895;9230;0.00542005
Inst_4P_10C_2H_2PP_2Co_4.data;OPT;12;1433;1433;684;468.505;466.201;2.29834;1575;6090;0
Inst_4P_10C_2H_2PP_2Co_5.data;;12;1961;1893;1050;3601.01;3596.88;4.127;2880;7631;0.0346762
Inst_4P_10C_2H_2PP_2Co_6.data;;13;2077;2042;1027;3601.01;3597.2;3.79867;2490;10254;0.0168512
Inst_4P_10C_2H_2PP_2Co_7.data;OPT;12;1938;1938;1057;810.119;794.46;15.6486;2490;10083;0
Inst_4P_10C_2H_2PP_2Co_8.data;OPT;11;1639;1639;745;1046.89;1044.21;2.67981;1905;7578;0
Inst_4P_10C_2H_2PP_2Co_9.data;;11;2663;2659;1579;3601.01;3598.27;2.73096;1290;7205;0.00150207
