;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_2H_2PP_2Co_10.data;;298;1768;1498;980;3605.5;3534.29;71.164;5475;19056;0.152715
Inst_4P_10C_2H_2PP_2Co_1.data;;198;1546;1454;808;3601.05;3568.96;32.0579;3120;13360;0.0595084
Inst_4P_10C_2H_2PP_2Co_2.data;;120;1750;1543;880;3601.02;3594.08;6.92857;2325;9536;0.118286
Inst_4P_10C_2H_2PP_2Co_3.data;;122;1476;1435;662;3604.89;3597.49;7.37938;1155;7236;0.0277778
Inst_4P_10C_2H_2PP_2Co_4.data;OPT;56;1433;1433;669;973.103;970.696;2.40148;615;3524;0
Inst_4P_10C_2H_2PP_2Co_5.data;;97;1946;1758;985;3601.02;3591.37;9.62902;2157;9931;0.0966084
Inst_4P_10C_2H_2PP_2Co_6.data;;64;2074;1932;1020;3601.02;3597.03;3.98226;1050;6221;0.0684667
Inst_4P_10C_2H_2PP_2Co_7.data;OPT;74;1938;1938;1048;1675.59;1662.38;13.1999;1005;5952;0
Inst_4P_10C_2H_2PP_2Co_8.data;OPT;75;1639;1639;739;1138.86;1134.6;4.25202;1120;6093;0
Inst_4P_10C_2H_2PP_2Co_9.data;;46;2666;2523;1550;3601.06;3598.35;2.69862;675;3954;0.0536384
