;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_1H_2PP_2Co_10.data;;73;3215;2424;1848;3601.16;3003.37;597.68;22180;60238;0.246034
Inst_4P_20C_1H_2PP_2Co_11.data;;72;3165;2231;1431;3601.12;3241.47;359.558;33748;56567;0.295103
Inst_4P_20C_1H_2PP_2Co_12.data;;52;3212;2138;1509;3601.1;2749.79;851.237;36927;43860;0.334371
Inst_4P_20C_1H_2PP_2Co_1.data;;73;2907;2084;1490;3601.21;3153.14;447.896;24615;53697;0.28311
Inst_4P_20C_1H_2PP_2Co_3.data;;113;3121;2581;1782;3601.15;3075.22;525.811;25520;84094;0.173021
Inst_4P_20C_1H_2PP_2Co_4.data;;99;3367;2559;1865;3601.12;2936.51;664.508;27342;77954;0.239976
Inst_4P_20C_1H_2PP_2Co_5.data;;75;2963;2185;1600;3601.12;3035.19;565.843;34887;50990;0.262572
Inst_4P_20C_1H_2PP_2Co_6.data;;94;3114;2348;1345;3601.13;3291.23;309.803;31423;52873;0.245986
Inst_4P_20C_1H_2PP_2Co_8.data;;61;3115;2161;1491;3601.16;3058.86;542.183;26457;65245;0.30626
Inst_4P_20C_1H_2PP_2Co_9.data;;178;3793;2910;2086;3601.25;3058.77;542.27;40791;73059;0.232797
