;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_1H_2PP_2Co_10.data;;76;2993;2603;1848;3601.05;3367.74;233.275;9346;21728;0.130304
Inst_4P_20C_1H_2PP_2Co_11.data;;53;2776;2495;1431;3601.04;3376.48;224.535;15223;23868;0.101225
Inst_4P_20C_1H_2PP_2Co_12.data;;103;2628;2366;1509;3601.07;3171.76;429.254;30873;30295;0.0996956
Inst_4P_20C_1H_2PP_2Co_1.data;;93;2516;2331;1490;3601.09;3344.71;256.341;9075;23866;0.0735294
Inst_4P_20C_1H_2PP_2Co_3.data;;114;3050;2739;1782;3601.05;3257.01;344.001;7442;23805;0.101967
Inst_4P_20C_1H_2PP_2Co_4.data;;143;3162;2773;1865;3601.07;3097.68;503.328;12579;41685;0.123023
Inst_4P_20C_1H_2PP_2Co_5.data;;70;2782;2446;1600;3601.06;3303.34;297.67;13581;26345;0.120776
Inst_4P_20C_1H_2PP_2Co_6.data;;67;2918;2643;1345;3601.05;3520.56;80.453;12988;27017;0.0942426
Inst_4P_20C_1H_2PP_2Co_8.data;;69;2729;2418;1491;3601.05;3473.04;127.979;8675;23900;0.113961
Inst_4P_20C_1H_2PP_2Co_9.data;;157;3473;3125;2086;3603.79;3106.79;496.942;15333;34583;0.100202
