;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_1H_2PP_2Co_11.data;;52;10000;2472;1532;3601.05;3596.04;4.9766;16477;5260;0.7528
Inst_4P_20C_1H_2PP_2Co_13.data;;62;10000;2892;1827;3601.05;3596.21;4.80658;23340;8327;0.7108
Inst_4P_20C_1H_2PP_2Co_15.data;;83;10000;2586;1710;3601.06;3592.56;8.46221;24990;6321;0.7414
Inst_4P_20C_1H_2PP_2Co_17.data;;44;10000;2306;1520;3601.04;3596.68;4.34196;12033;4320;0.7694
Inst_4P_20C_1H_2PP_2Co_2.data;;44;10000;2265;1476;3601.03;3597.55;3.46576;11850;4578;0.7735
Inst_4P_20C_1H_2PP_2Co_3.data;;42;10000;2444;1250;3601.03;3599.1;1.91389;11978;6073;0.7556
Inst_4P_20C_1H_2PP_2Co_4.data;;13;10000;2776;1952;3601.04;3599.99;1.04222;4410;3614;0.7224
Inst_4P_20C_1H_2PP_2Co_5.data;;60;10000;2633;1782;3601.06;3595.26;5.7741;16680;8349;0.7367
Inst_4P_20C_1H_2PP_2Co_7.data;;29;10000;2673;1564;3601.05;3599.68;1.35721;9972;4527;0.7327
Inst_4P_20C_1H_2PP_2Co_8.data;;58;10000;2688;1946;3602.51;3596.72;5.76681;18510;6225;0.7312
