;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_1H_2PP_2Co_11.data;;54;3376;3211;1525;14400;14395.7;4.31048;11084;9014;0.0488744
Inst_4P_20C_1H_2PP_2Co_13.data;;51;3688;3326;1824;14400;14395.7;4.3059;13380;12735;0.0981562
Inst_4P_20C_1H_2PP_2Co_15.data;;45;3667;3576;1700;14400;14393.3;6.70326;17986;13462;0.0248159
Inst_4P_20C_1H_2PP_2Co_17.data;;53;2986;2703;1516;14400;14396.2;3.77457;14138;13052;0.0947756
Inst_4P_20C_1H_2PP_2Co_2.data;;50;3096;3019;1464;14400;14395.3;4.66418;15970;14738;0.0248708
Inst_4P_20C_1H_2PP_2Co_3.data;OPT;50;2909;2909;1231;1936.68;1929.66;7.00324;10885;10768;0
Inst_4P_20C_1H_2PP_2Co_4.data;;47;3680;3497;1914;14400;14393.8;6.18646;14910;15510;0.0497283
Inst_4P_20C_1H_2PP_2Co_5.data;;56;3373;3360;1776;14400;14393.9;6.14662;14470;11105;0.00385414
Inst_4P_20C_1H_2PP_2Co_7.data;OPT;40;3396;3396;1515;10119.8;10117.9;1.87717;9517;6164;0
Inst_4P_20C_1H_2PP_2Co_8.data;;53;3428;3093;1920;14400;14394.4;5.60592;14883;12530;0.0977246
