;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_1H_2PP_2Co_11.data;;121;3499;2966;1525;3601.1;3588.51;12.5102;82180;62132;0.152329
Inst_4P_20C_1H_2PP_2Co_13.data;;127;4224;3122;1824;3601.16;3582.47;18.5502;159240;90012;0.26089
Inst_4P_20C_1H_2PP_2Co_15.data;;111;3849;3090;1700;3601.13;3580.64;20.3861;154103;106213;0.197194
Inst_4P_20C_1H_2PP_2Co_17.data;;121;3598;2536;1516;3601.12;3586.88;14.1426;106879;61709;0.295164
Inst_4P_20C_1H_2PP_2Co_2.data;;116;4071;2608;1464;3601.09;3592.05;8.97989;96344;51791;0.359371
Inst_4P_20C_1H_2PP_2Co_3.data;;71;2953;2795;1231;3601.06;3592.88;8.13415;55728;66977;0.0535049
Inst_4P_20C_1H_2PP_2Co_4.data;;127;4029;3154;1914;3601.14;3584.56;16.4711;133470;81680;0.217175
Inst_4P_20C_1H_2PP_2Co_5.data;;129;13635;2905;1776;3601.14;3580.33;20.6854;145445;105846;0.786945
Inst_4P_20C_1H_2PP_2Co_7.data;;124;3524;3139;1515;3601.1;3591.56;9.4631;82919;46408;0.109251
Inst_4P_20C_1H_2PP_2Co_8.data;;123;4062;2923;1920;3601.17;3582.34;18.6928;129980;77441;0.280404
