;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_1H_2PP_2Co_10.data;OPT;14;1073;1073;509;53.5968;52.7664;0.826507;1410;3391;0
Inst_2P_10C_1H_2PP_2Co_11.data;OPT;41;1043;1043;387;302.286;301.066;1.21249;6200;5546;0
Inst_2P_10C_1H_2PP_2Co_1.data;;343;841;819;314;3601.07;3541.14;59.8616;33960;26759;0.0261593
Inst_2P_10C_1H_2PP_2Co_2.data;OPT;42;1555;1555;658;253.464;252.609;0.846932;5411;5931;0
Inst_2P_10C_1H_2PP_2Co_4.data;OPT;12;967;967;358;19.5259;19.1637;0.359727;2232;3276;0
Inst_2P_10C_1H_2PP_2Co_5.data;OPT;12;1173;1173;348;2.67683;2.4998;0.175104;810;2780;0
Inst_2P_10C_1H_2PP_2Co_6.data;OPT;19;939;939;348;26.858;26.2301;0.625146;1860;3638;0
Inst_2P_10C_1H_2PP_2Co_7.data;OPT;15;1457;1457;663;25.3404;24.6539;0.683568;1620;3984;0
Inst_2P_10C_1H_2PP_2Co_8.data;OPT;12;1565;1565;607;273.455;272.906;0.546671;1920;3457;0
Inst_2P_10C_1H_2PP_2Co_9.data;OPT;22;1252;1252;476;189.919;189.146;0.769073;1803;3719;0
