;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_1H_2PP_2Co_10.data;OPT;22;1073;1073;509;23.5181;22.4963;1.01834;1500;2551;0
Inst_2P_10C_1H_2PP_2Co_11.data;OPT;53;1043;1043;387;199.279;198.527;0.740789;9092;2706;0
Inst_2P_10C_1H_2PP_2Co_1.data;;349;841;838;314;3601.05;3569.23;31.7693;30780;3059;0.00356718
Inst_2P_10C_1H_2PP_2Co_2.data;OPT;43;1555;1555;658;264.627;264.498;0.122159;4451;2114;0
Inst_2P_10C_1H_2PP_2Co_4.data;OPT;16;967;967;358;46.9317;46.7215;0.207957;2076;2430;0
Inst_2P_10C_1H_2PP_2Co_5.data;OPT;16;1173;1173;348;2.03351;1.99665;0.0345394;990;1034;0
Inst_2P_10C_1H_2PP_2Co_6.data;OPT;22;939;939;348;26.5602;26.3725;0.185136;1950;2256;0
Inst_2P_10C_1H_2PP_2Co_7.data;OPT;19;1457;1457;663;26.5252;26.0625;0.460796;1290;2192;0
Inst_2P_10C_1H_2PP_2Co_8.data;OPT;16;1565;1565;607;227.615;227.324;0.289485;1380;1658;0
Inst_2P_10C_1H_2PP_2Co_9.data;OPT;27;1252;1252;476;175.743;175.063;0.676249;1725;2305;0
