;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_30C_2H_2PP_2Co_12.data;;119;5998;4183;2429;3601.34;3457.58;143.561;132636;74927;0.302601
Inst_4P_30C_2H_2PP_2Co_13.data;;123;5113;3645;2308;3601.24;3458.45;142.598;93561;91936;0.287111
Inst_4P_30C_2H_2PP_2Co_1.data;;101;5672;3841;2374;3601.27;3482.47;118.642;108065;79049;0.322814
Inst_4P_30C_2H_2PP_2Co_2.data;;117;14670;3323;2208;3601.32;3469.14;131.934;89319;77886;0.773483
Inst_4P_30C_2H_2PP_2Co_32.data;;125;5020;3228;2229;3601.31;3417.69;183.388;95631;69792;0.356972
Inst_4P_30C_2H_2PP_2Co_4.data;;65;5072;3602;2234;3601.29;3447.72;153.353;84749;88586;0.289827
Inst_4P_30C_2H_2PP_2Co_5.data;;122;5013;3443;2216;3601.28;3452.52;148.541;99938;106870;0.313186
Inst_4P_30C_2H_2PP_2Co_6.data;;122;5984;4264;2573;3601.34;3455.58;145.594;127119;82784;0.287433
Inst_4P_30C_2H_2PP_2Co_7.data;;125;4832;3203;1944;3601.42;3421.87;179.313;72392;98549;0.337127
Inst_4P_30C_2H_2PP_2Co_9.data;;122;6287;4209;2682;3601.39;3467.88;133.172;103293;64846;0.330523
