;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_2H_2PP_2Co_10.data;;107;1870;1584;995;3601.05;3377.56;223.446;14154;31590;0.152941
Inst_2P_20C_2H_2PP_2Co_1.data;;82;1867;1664;915;3601.03;3432.11;168.896;8215;17239;0.108731
Inst_2P_20C_2H_2PP_2Co_2.data;;61;2295;2228;1295;3601.03;3574.03;26.9838;4416;10459;0.0291939
Inst_2P_20C_2H_2PP_2Co_3.data;OPT;39;1569;1569;796;266.16;243.841;22.3087;742;6879;0
Inst_2P_20C_2H_2PP_2Co_4.data;;46;2056;2005;1000;3601.03;3587.53;13.4877;4059;9326;0.0248054
Inst_2P_20C_2H_2PP_2Co_5.data;;82;2060;1861;1271;3601.03;3062.01;538.996;9555;17099;0.0966019
Inst_2P_20C_2H_2PP_2Co_6.data;;61;2283;2206;1191;3601.02;3555.2;45.8064;5365;8081;0.0337276
Inst_2P_20C_2H_2PP_2Co_7.data;;53;1846;1748;853;3601.02;3579.12;21.8853;7997;12804;0.0530878
Inst_2P_20C_2H_2PP_2Co_8.data;;48;2197;1947;1044;3601.02;3579.98;21.0258;7001;10604;0.113792
Inst_2P_20C_2H_2PP_2Co_9.data;;68;2091;1962;1188;3601.03;3465.63;135.374;2115;10765;0.061693
