;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_2H_2PP_2Co_10.data;;9;2037;1551;783;3601.02;3599.26;1.75604;5239;10441;0.238586
Inst_2P_20C_2H_2PP_2Co_12.data;OPT;12;2754;2754;1528;42.1913;40.1866;1.99213;5496;10107;0
Inst_2P_20C_2H_2PP_2Co_13.data;;29;2049;1938;954;3601.03;3598.65;2.36528;9317;11205;0.0541728
Inst_2P_20C_2H_2PP_2Co_16.data;OPT;16;2307;2307;1010;38.5131;37.0022;1.50258;3595;6220;0
Inst_2P_20C_2H_2PP_2Co_17.data;;21;2725;2193;1204;3601.03;3599.92;1.09086;6440;9698;0.195229
Inst_2P_20C_2H_2PP_2Co_18.data;;11;2330;2128;989;3601.03;3599.67;1.33601;6342;9966;0.0866953
Inst_2P_20C_2H_2PP_2Co_19.data;;21;2043;1978;1091;3601.03;3598.74;2.277;7835;11315;0.031816
Inst_2P_20C_2H_2PP_2Co_2.data;;27;2016;1942;864;3601.04;3594.69;6.32602;14302;15535;0.0367064
Inst_2P_20C_2H_2PP_2Co_6.data;;13;2469;2128;1115;3601.03;3598.43;2.58796;9025;10566;0.138113
Inst_2P_20C_2H_2PP_2Co_7.data;OPT;15;1728;1728;735;1793.99;1792.23;1.75798;4876;8754;0
