;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_20C_2H_2PP_2Co_10.data;;24;1622;1580;780;3601.03;3598.79;2.23862;6201;8935;0.025894
Inst_2P_20C_2H_2PP_2Co_12.data;OPT;31;2754;2754;1525;30.5751;28.078;2.48894;2646;4341;0
Inst_2P_20C_2H_2PP_2Co_13.data;;44;2003;1944;954;3601.03;3596.18;4.8312;10253;8464;0.0294558
Inst_2P_20C_2H_2PP_2Co_16.data;OPT;28;2307;2307;972;19.5218;18.0243;1.49129;1265;3640;0
Inst_2P_20C_2H_2PP_2Co_17.data;;39;2312;2255;1204;3601.02;3599.12;1.88403;6750;7418;0.024654
Inst_2P_20C_2H_2PP_2Co_18.data;OPT;36;2143;2143;972;2806.8;2804.42;2.38011;4500;5436;0
Inst_2P_20C_2H_2PP_2Co_19.data;OPT;52;1997;1997;1091;259.125;253.007;6.09471;10705;8155;0
Inst_2P_20C_2H_2PP_2Co_2.data;OPT;55;1949;1949;863;2367.76;2363.79;3.96101;7340;9883;0
Inst_2P_20C_2H_2PP_2Co_6.data;OPT;33;2261;2261;1077;556.774;553.668;3.09677;7135;8672;0
Inst_2P_20C_2H_2PP_2Co_7.data;OPT;35;1728;1728;735;540.338;538.899;1.43217;3326;4516;0
