;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;118;2371;1992;1380;14400.1;11969.7;2430.27;21015;67410;0.159848
Inst_2P_30C_2H_2PP_2Co_1.data;;100;3329;2910;1903;14400.1;5208.66;9191.34;38373;62290;0.125864
Inst_2P_30C_2H_2PP_2Co_2.data;;91;2242;1973;1251;14400.1;14133.9;266.089;23631;43842;0.119982
Inst_2P_30C_2H_2PP_2Co_3.data;;108;2990;2653;1858;14400.1;13991.9;408.104;29160;53565;0.112709
Inst_2P_30C_2H_2PP_2Co_4.data;;118;3074;2882;1873;14400.1;13384.3;1015.77;33721;60254;0.0624593
Inst_2P_30C_2H_2PP_2Co_5.data;;64;2669;2403;1481;14400.1;13847.8;552.215;27900;49803;0.0996628
Inst_2P_30C_2H_2PP_2Co_6.data;;110;2686;2342;1489;14400.1;10334;4066.03;22362;42024;0.128071
Inst_2P_30C_2H_2PP_2Co_7.data;;104;2427;2123;1342;14400.2;13035.8;1364.27;23932;57991;0.125258
Inst_2P_30C_2H_2PP_2Co_8.data;;148;2976;2622;1790;14400.2;12986.1;1413.92;35540;81487;0.118952
Inst_2P_30C_2H_2PP_2Co_9.data;;84;2864;2533;1730;14400.1;13357.7;1042.27;24184;41932;0.115573
