;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;12;2535;2050;1382;3601.02;3558.04;42.9724;1890;9196;0.191321
Inst_2P_30C_2H_2PP_2Co_1.data;;25;3348;2881;1907;3601.02;3566.72;34.2842;5853;9659;0.139486
Inst_2P_30C_2H_2PP_2Co_2.data;;14;2996;1916;1251;3601.02;3583.61;17.4014;2694;7392;0.360481
Inst_2P_30C_2H_2PP_2Co_3.data;;9;3204;2641;1883;3601.02;3583.76;17.2508;2505;8612;0.175718
Inst_2P_30C_2H_2PP_2Co_4.data;;29;3094;2867;1873;3601.02;3554.27;46.7336;4517;10478;0.0733678
Inst_2P_30C_2H_2PP_2Co_5.data;;12;3138;2427;1481;3601.03;3572.98;28.0373;3015;9557;0.226577
Inst_2P_30C_2H_2PP_2Co_6.data;;22;2914;2367;1493;3601.02;3583.41;17.6004;3966;8952;0.187714
Inst_2P_30C_2H_2PP_2Co_7.data;;12;2505;2183;1356;3601.02;3499.3;101.708;3714;8212;0.128543
Inst_2P_30C_2H_2PP_2Co_8.data;;11;3112;2589;1796;3601.02;3556.72;44.2901;3435;10341;0.168059
Inst_2P_30C_2H_2PP_2Co_9.data;;24;3077;2568;1730;3601.02;3500.05;100.962;3940;9943;0.165421
