;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;86;2507;1982;1380;3601.07;2629.53;971.477;20655;57887;0.209414
Inst_2P_30C_2H_2PP_2Co_1.data;;75;3293;2893;1903;3601.11;3334.5;266.58;12258;21416;0.12147
Inst_2P_30C_2H_2PP_2Co_2.data;;80;2240;1902;1251;3601.05;3386.46;214.549;15855;29811;0.150893
Inst_2P_30C_2H_2PP_2Co_3.data;;150;2989;2634;1858;3601.09;3304.84;296.163;35100;54406;0.118769
Inst_2P_30C_2H_2PP_2Co_4.data;;219;3426;2705;1873;3601.12;2918.39;682.625;38447;69197;0.21045
Inst_2P_30C_2H_2PP_2Co_5.data;;74;2743;2365;1481;3601.68;2958.56;643.062;29160;50492;0.137805
Inst_2P_30C_2H_2PP_2Co_6.data;;98;2716;2261;1489;3601.06;3432.55;168.458;17967;29352;0.167526
Inst_2P_30C_2H_2PP_2Co_7.data;;104;2448;2070;1342;3601.06;2796.51;804.495;16979;41795;0.154412
Inst_2P_30C_2H_2PP_2Co_8.data;;163;3123;2552;1790;3601.1;3053.41;547.602;30365;68703;0.182837
Inst_2P_30C_2H_2PP_2Co_9.data;;82;2840;2529;1730;3607.25;3063.73;543.481;15786;29177;0.109507
