;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_30C_2H_2PP_2Co_10.data;;209;2404;1910;1380;3603.35;2816.54;786.742;7170;30915;0.205491
Inst_2P_30C_2H_2PP_2Co_1.data;;187;3317;2802;1903;3601.07;3250.88;350.135;8877;27607;0.155261
Inst_2P_30C_2H_2PP_2Co_2.data;;197;2282;1810;1251;3601.07;3517.83;83.1857;6597;21141;0.206836
Inst_2P_30C_2H_2PP_2Co_3.data;;299;2987;2535;1858;3606.67;3091.57;515.024;13455;40013;0.151322
Inst_2P_30C_2H_2PP_2Co_4.data;;297;3094;2632;1873;3602.47;2612.63;989.752;8446;36641;0.149321
Inst_2P_30C_2H_2PP_2Co_5.data;;180;2843;2310;1481;3609.2;3126.89;482.233;8730;28091;0.187478
Inst_2P_30C_2H_2PP_2Co_6.data;;144;2885;2196;1489;3602.18;1390.14;2212;5133;18762;0.238821
Inst_2P_30C_2H_2PP_2Co_7.data;;157;2403;2024;1342;3601.06;3323.48;277.538;4680;18753;0.15772
Inst_2P_30C_2H_2PP_2Co_8.data;;214;2987;2483;1790;3601.08;3188.81;412.208;6705;30201;0.168731
Inst_2P_30C_2H_2PP_2Co_9.data;;219;2856;2422;1730;3609.67;3063.24;546.378;8687;28001;0.151961
