;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_2H_2PP_3Co_10.data;;23;4849;4007;2312;3601.1;3583.56;17.4985;44294;43487;0.173644
Inst_6P_30C_2H_2PP_3Co_12.data;;31;4333;4067;2440;3601.06;3584.4;16.6264;27947;31710;0.0613893
Inst_6P_30C_2H_2PP_3Co_14.data;;25;4818;4337;2579;3601.09;3586.95;14.1043;21072;34224;0.099834
Inst_6P_30C_2H_2PP_3Co_20.data;;27;3950;3484;1963;3601.06;3583.97;17.0518;33100;42938;0.117975
Inst_6P_30C_2H_2PP_3Co_22.data;;21;4213;3136;1881;3601.09;3568.55;32.4809;50056;44331;0.255637
Inst_6P_30C_2H_2PP_3Co_25.data;;33;4419;4009;2198;3601.09;3581.52;19.5257;35918;36237;0.0927812
Inst_6P_30C_2H_2PP_3Co_26.data;;25;4573;3919;2461;3601.09;3573.89;27.165;28939;36698;0.143013
Inst_6P_30C_2H_2PP_3Co_29.data;;23;4958;4463;2501;3601.07;3589.49;11.555;30839;29013;0.0998386
Inst_6P_30C_2H_2PP_3Co_2.data;;18;3492;2876;1705;3601.06;3579.93;21.0937;37196;37825;0.176403
Inst_6P_30C_2H_2PP_3Co_3.data;;37;4190;3582;1871;3601.06;3580.51;20.5036;38000;42270;0.145107
