;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_2H_2PP_2Co_10.data;;26;10000;2369;1762;3601.02;3570.71;30.298;997;4577;0.7631
Inst_4P_20C_2H_2PP_2Co_11.data;;29;10000;2316;1555;3601.03;3590.47;10.5523;1333;4856;0.7684
Inst_4P_20C_2H_2PP_2Co_12.data;;16;10000;2516;1871;3601.03;3595.32;5.70263;990;3436;0.7484
Inst_4P_20C_2H_2PP_2Co_14.data;;23;10000;2357;1675;3601.03;3591.14;9.88015;1327;3736;0.7643
Inst_4P_20C_2H_2PP_2Co_2.data;;24;10000;2257;1517;3601.02;3593.46;7.55556;1755;2893;0.7743
Inst_4P_20C_2H_2PP_2Co_4.data;;27;10000;2263;1514;3601.04;3592.61;8.41804;1485;4612;0.7737
Inst_4P_20C_2H_2PP_2Co_5.data;;25;10000;2473;1926;3601.03;3590.47;10.5533;1258;3691;0.7527
Inst_4P_20C_2H_2PP_2Co_6.data;;102;10000;2178;1410;3601.04;3527.64;73.365;5145;7277;0.7822
Inst_4P_20C_2H_2PP_2Co_7.data;;18;10000;2284;1530;3601.02;3598.41;2.60506;967;3047;0.7716
Inst_4P_20C_2H_2PP_2Co_8.data;;15;10000;2115;1540;3601.03;3598.32;2.69897;756;3367;0.7885
