;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_20C_2H_2PP_2Co_10.data;;49;2882;2511;1758;3601.05;3161.68;439.351;4848;17199;0.12873
Inst_4P_20C_2H_2PP_2Co_11.data;;42;2925;2450;1549;3601.05;3424.34;176.675;11557;27727;0.162393
Inst_4P_20C_2H_2PP_2Co_12.data;;49;3226;2676;1839;3601.06;3180.93;420.086;21441;39531;0.17049
Inst_4P_20C_2H_2PP_2Co_14.data;;35;2929;2587;1667;3601.05;3409.54;191.469;14440;28042;0.116763
Inst_4P_20C_2H_2PP_2Co_2.data;;59;2894;2543;1472;3601.05;3484.58;116.431;22171;35850;0.121285
Inst_4P_20C_2H_2PP_2Co_4.data;;54;2826;2345;1501;3601.06;3180.67;420.353;11343;30834;0.170205
Inst_4P_20C_2H_2PP_2Co_5.data;;93;3153;2620;1887;3601.08;2921.23;679.785;18917;42457;0.169045
Inst_4P_20C_2H_2PP_2Co_6.data;;52;2766;2467;1378;3601.04;3528.77;72.2387;12058;28057;0.108098
Inst_4P_20C_2H_2PP_2Co_7.data;;39;2941;2469;1530;3601.07;3452.01;149.03;17290;29791;0.16049
Inst_4P_20C_2H_2PP_2Co_8.data;;50;2766;2312;1540;3601.04;3450.85;150.163;7591;24654;0.164136
