;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;63;2423;2189;906;3601.04;3597.47;3.53744;54688;37802;0.0965745
Inst_4P_10C_1H_2PP_2Co_11.data;;57;2112;1987;868;3601.04;3597.26;3.74665;40193;33446;0.0591856
Inst_4P_10C_1H_2PP_2Co_12.data;;53;1589;1548;672;3601.04;3598;3.02429;13533;24312;0.0258024
Inst_4P_10C_1H_2PP_2Co_13.data;;40;1933;1872;812;3601.04;3598.71;2.30753;26370;20948;0.0315572
Inst_4P_10C_1H_2PP_2Co_14.data;;36;2079;1974;1064;3601.08;3597.49;3.55989;32640;31580;0.050505
Inst_4P_10C_1H_2PP_2Co_1.data;;36;1465;1429;656;3601.03;3598.3;2.70528;20794;28181;0.0245734
Inst_4P_10C_1H_2PP_2Co_2.data;;117;1851;1780;768;3601.06;3592.57;8.44872;23160;26206;0.0383576
Inst_4P_10C_1H_2PP_2Co_4.data;OPT;82;1825;1825;653;2008.67;2005.98;2.65697;23358;19559;0
Inst_4P_10C_1H_2PP_2Co_5.data;;59;2139;2033;1001;3601.05;3596.45;4.56119;40495;28710;0.0495559
Inst_4P_10C_1H_2PP_2Co_7.data;;73;2118;2013;919;3601.04;3596.29;4.71343;46180;29959;0.0495751
