;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;6;2842;988;988;3601.01;3600.94;0.0638648;3028;1379;0.652358
Inst_4P_10C_1H_2PP_2Co_11.data;OPT;11;2090;2090;887;241.454;241.179;0.270639;4736;4636;0
Inst_4P_10C_1H_2PP_2Co_12.data;OPT;16;1589;1589;672;200.229;199.674;0.548459;4020;6396;0
Inst_4P_10C_1H_2PP_2Co_13.data;OPT;13;1933;1933;812;236.717;236.26;0.450792;5610;4660;0
Inst_4P_10C_1H_2PP_2Co_14.data;OPT;7;2079;2079;1075;272.539;271.743;0.790123;4440;7219;0
Inst_4P_10C_1H_2PP_2Co_1.data;OPT;12;1465;1465;659;161.078;160.449;0.620431;3955;7648;0
Inst_4P_10C_1H_2PP_2Co_2.data;OPT;15;1851;1851;810;500.911;499.992;0.911178;3630;5449;0
Inst_4P_10C_1H_2PP_2Co_4.data;OPT;14;1825;1825;661;2103.29;2101.03;2.25318;4571;6721;0
Inst_4P_10C_1H_2PP_2Co_5.data;OPT;12;2139;2139;1041;229.319;228.53;0.781477;4384;6702;0
Inst_4P_10C_1H_2PP_2Co_7.data;OPT;15;2102;2102;940;1261.23;1260.78;0.448264;4420;3826;0
