;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;10;2382;2263;906;3601.02;3586.71;14.2966;7254;5864;0.049958
Inst_4P_10C_1H_2PP_2Co_11.data;OPT;13;2090;2090;868;132.474;128.817;3.6488;5014;5716;0
Inst_4P_10C_1H_2PP_2Co_12.data;OPT;16;1589;1589;672;222.272;207.065;15.1976;3310;6732;0
Inst_4P_10C_1H_2PP_2Co_13.data;OPT;17;1933;1933;812;451.294;442.006;9.27444;5880;5563;0
Inst_4P_10C_1H_2PP_2Co_14.data;OPT;11;2079;2079;1064;401.976;397.245;4.72124;4170;7596;0
Inst_4P_10C_1H_2PP_2Co_1.data;OPT;13;1465;1465;656;221.279;207.107;14.1627;4170;6153;0
Inst_4P_10C_1H_2PP_2Co_2.data;OPT;16;1851;1851;768;232.214;216.082;16.1243;2700;4926;0
Inst_4P_10C_1H_2PP_2Co_4.data;OPT;11;1825;1825;653;791.004;777.351;13.6438;5214;7443;0
Inst_4P_10C_1H_2PP_2Co_5.data;OPT;13;2139;2139;1001;354.734;338.662;16.0652;3290;4826;0
Inst_4P_10C_1H_2PP_2Co_7.data;OPT;13;2102;2102;919;2355.48;2340.46;15.0122;4595;5474;0
