;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_4P_10C_1H_2PP_2Co_10.data;;28;2391;2153;906;3601.01;3600.31;0.69938;2564;1714;0.0995399
Inst_4P_10C_1H_2PP_2Co_11.data;OPT;35;2090;2090;868;234.762;233.432;1.32039;2482;5260;0
Inst_4P_10C_1H_2PP_2Co_12.data;OPT;36;1589;1589;672;476.334;475.441;0.883383;1493;4138;0
Inst_4P_10C_1H_2PP_2Co_13.data;OPT;43;1933;1933;812;307.423;306.402;1.01115;2400;3105;0
Inst_4P_10C_1H_2PP_2Co_14.data;OPT;23;2079;2079;1064;364.628;363.883;0.738925;1590;3651;0
Inst_4P_10C_1H_2PP_2Co_1.data;OPT;29;1465;1465;656;154.704;153.914;0.782618;1530;4192;0
Inst_4P_10C_1H_2PP_2Co_2.data;OPT;27;1851;1851;768;1945.94;1945.08;0.857746;1680;4030;0
Inst_4P_10C_1H_2PP_2Co_4.data;OPT;34;1825;1825;653;1179.77;1178.71;1.04431;2081;4747;0
Inst_4P_10C_1H_2PP_2Co_5.data;OPT;29;2139;2139;1001;221.596;220.173;1.41481;1890;4210;0
Inst_4P_10C_1H_2PP_2Co_7.data;OPT;30;2102;2102;919;2585.96;2585.23;0.724471;2280;3172;0
