;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_1H_2PP_2Co_10.data;OPT;45;1035;1035;509;2168.04;2159.62;8.40318;1410;9853;0
Inst_2P_10C_1H_2PP_2Co_11.data;OPT;40;1115;1115;400;2273.7;2269.56;4.13451;1980;7232;0
Inst_2P_10C_1H_2PP_2Co_12.data;;145;1664;1486;827;3601.04;3568.14;32.8668;6563;28073;0.106971
Inst_2P_10C_1H_2PP_2Co_1.data;;125;781;758;314;3601.05;3571.55;29.4773;58;11193;0.0294494
Inst_2P_10C_1H_2PP_2Co_2.data;OPT;40;1347;1347;622;2249.08;2244.91;4.1577;1455;6486;0
Inst_2P_10C_1H_2PP_2Co_4.data;OPT;38;953;953;326;200.577;195.54;5.03091;599;4719;0
Inst_2P_10C_1H_2PP_2Co_6.data;OPT;36;1028;1028;386;79.2692;75.8208;3.44285;600;3893;0
Inst_2P_10C_1H_2PP_2Co_7.data;OPT;37;1341;1341;681;2003.29;1999.35;3.93793;1680;6043;0
Inst_2P_10C_1H_2PP_2Co_8.data;;152;1374;1286;607;3601.05;3579.27;21.7473;4365;17928;0.0640466
Inst_2P_10C_1H_2PP_2Co_9.data;OPT;42;1580;1580;845;2596.23;2592.48;3.74243;2340;8543;0
