;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_1H_2PP_2Co_10.data;;57;1140;988;509;3601.02;3599.69;1.3135;615;3431;0.133333
Inst_2P_10C_1H_2PP_2Co_11.data;;88;1200;1085;400;3601.02;3599.7;1.30111;1215;3705;0.0958333
Inst_2P_10C_1H_2PP_2Co_12.data;;136;1762;1495;827;3601.03;3596.52;4.47869;4116;8405;0.151532
Inst_2P_10C_1H_2PP_2Co_1.data;;116;789;763;318;3601.02;3599.27;1.73619;50;4673;0.0329531
Inst_2P_10C_1H_2PP_2Co_2.data;;44;1754;1293;625;3601.01;3600.23;0.775198;1260;2724;0.262828
Inst_2P_10C_1H_2PP_2Co_4.data;OPT;73;953;953;326;915.196;913.835;1.34863;445;3487;0
Inst_2P_10C_1H_2PP_2Co_6.data;OPT;62;1028;1028;386;320.121;319.415;0.69581;675;2493;0
Inst_2P_10C_1H_2PP_2Co_7.data;OPT;100;1341;1341;691;3238.98;3237.76;1.20275;1830;4360;0
Inst_2P_10C_1H_2PP_2Co_8.data;;118;1379;1290;649;3601.03;3598.74;2.26295;2055;4838;0.0645395
Inst_2P_10C_1H_2PP_2Co_9.data;;72;1637;1539;845;3601.01;3599.7;1.30156;1710;3381;0.0598656
