;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_2P_10C_1H_2PP_2Co_10.data;OPT;12;1035;1035;509;108.308;106.214;2.09017;210;2732;0
Inst_2P_10C_1H_2PP_2Co_11.data;OPT;11;1115;1115;400;162.963;162.046;0.913541;765;3166;0
Inst_2P_10C_1H_2PP_2Co_12.data;;43;1664;1635;827;3601.01;3591.35;9.65026;1579;7449;0.0174279
Inst_2P_10C_1H_2PP_2Co_1.data;OPT;23;781;781;318;422.258;418.761;3.49153;5;4572;0
Inst_2P_10C_1H_2PP_2Co_2.data;OPT;12;1347;1347;625;134.598;133.192;1.40244;1065;2940;0
Inst_2P_10C_1H_2PP_2Co_4.data;OPT;13;953;953;326;37.1741;34.8757;2.29338;680;2851;0
Inst_2P_10C_1H_2PP_2Co_6.data;OPT;11;1028;1028;386;25.132;24.1668;0.962256;465;2149;0
Inst_2P_10C_1H_2PP_2Co_7.data;OPT;9;1341;1341;691;33.8776;33.026;0.84825;315;2192;0
Inst_2P_10C_1H_2PP_2Co_8.data;;70;1374;1360;649;3601.02;3587.6;13.4046;2025;9937;0.0101892
Inst_2P_10C_1H_2PP_2Co_9.data;OPT;12;1580;1580;845;48.7698;47.7762;0.990165;780;2361;0
