;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_10.data;;53;1469;1219;763;3601.08;3471.89;129.126;6801;23557;0.170184
Inst_6P_10C_1H_2PP_3Co_11.data;;102;1743;1491;846;3601.08;3408.38;192.638;14811;44418;0.144578
Inst_6P_10C_1H_2PP_3Co_12.data;;65;1732;1682;834;3601.09;3495.11;105.897;14130;38283;0.0288684
Inst_6P_10C_1H_2PP_3Co_1.data;;36;1487;1341;703;3601.07;3543.84;57.1941;2694;12432;0.0981843
Inst_6P_10C_1H_2PP_3Co_2.data;OPT;34;1057;1057;356;1725.44;1693.64;31.795;1073;7294;0
Inst_6P_10C_1H_2PP_3Co_4.data;;45;1401;1366;581;3601.06;3527.52;73.5181;5655;20048;0.0249822
Inst_6P_10C_1H_2PP_3Co_5.data;;47;1347;1212;662;3601.07;3519.18;81.856;7129;23073;0.100223
Inst_6P_10C_1H_2PP_3Co_7.data;OPT;49;1379;1379;631;900.379;848.464;51.8944;3910;12228;0
Inst_6P_10C_1H_2PP_3Co_8.data;;54;1713;1447;825;3602.15;3519.08;83.0348;5880;23048;0.155283
Inst_6P_10C_1H_2PP_3Co_9.data;;89;1946;1732;1000;3601.05;3420.87;180.145;11370;31548;0.109969
