;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_10.data;;42;1428;1427;763;3601.02;3572.41;28.5959;1140;7304;0.00070028
Inst_6P_10C_1H_2PP_3Co_11.data;;38;1725;1636;846;3601.05;3591.34;9.70388;2177;7739;0.0515942
Inst_6P_10C_1H_2PP_3Co_12.data;OPT;18;1732;1732;834;190.469;187.178;3.28553;1245;4640;0
Inst_6P_10C_1H_2PP_3Co_1.data;OPT;24;1487;1487;703;370.42;365.998;4.4158;518;3776;0
Inst_6P_10C_1H_2PP_3Co_2.data;OPT;25;1057;1057;356;89.7348;83.8559;5.87286;390;3048;0
Inst_6P_10C_1H_2PP_3Co_4.data;OPT;19;1401;1401;581;47.7824;44.195;3.58168;885;4203;0
Inst_6P_10C_1H_2PP_3Co_5.data;;44;1347;1313;662;3601.03;3582.34;18.676;1671;7113;0.0252413
Inst_6P_10C_1H_2PP_3Co_7.data;OPT;22;1379;1379;631;49.4464;45.2972;4.14357;1034;3937;0
Inst_6P_10C_1H_2PP_3Co_8.data;OPT;28;1694;1694;825;1442.89;1433.47;9.41275;1125;5290;0
Inst_6P_10C_1H_2PP_3Co_9.data;;119;1925;1809;1000;3601.03;3547.12;53.8863;7980;10485;0.0602597
