;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_10.data;;42;2547;1184;763;3601.01;3597.67;3.33057;1455;2964;0.535139
Inst_6P_10C_1H_2PP_3Co_11.data;;68;10000;1394;846;3601.02;3597.56;3.44547;2537;4259;0.8606
Inst_6P_10C_1H_2PP_3Co_12.data;;41;10000;1577;834;3601.01;3599.47;1.53772;1740;3531;0.8423
Inst_6P_10C_1H_2PP_3Co_1.data;;41;1812;1338;707;3601.01;3599.15;1.85935;1414;2948;0.261589
Inst_6P_10C_1H_2PP_3Co_2.data;;94;1110;1049;356;3601.02;3597.35;3.65963;1639;4986;0.054955
Inst_6P_10C_1H_2PP_3Co_4.data;;46;2212;1260;581;3601.01;3599.24;1.76291;1518;3053;0.43038
Inst_6P_10C_1H_2PP_3Co_5.data;;63;10000;1142;662;3601.02;3596.83;4.17887;1509;3133;0.8858
Inst_6P_10C_1H_2PP_3Co_7.data;;43;10000;1209;637;3601.01;3598.8;2.20314;1433;2453;0.8791
Inst_6P_10C_1H_2PP_3Co_8.data;;49;10000;1443;825;3601.02;3598.85;2.15928;1380;3806;0.8557
Inst_6P_10C_1H_2PP_3Co_9.data;;56;10000;1750;1001;3601.02;3598.22;2.78381;2250;3674;0.825
