;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_10C_1H_2PP_3Co_10.data;;87;1428;1357;763;3601.02;3554.16;46.842;1332;8633;0.0497199
Inst_6P_10C_1H_2PP_3Co_11.data;OPT;52;1723;1723;846;2873.79;2864.13;9.64942;1967;5746;0
Inst_6P_10C_1H_2PP_3Co_12.data;OPT;22;1732;1732;834;526.14;523.781;2.35536;705;2926;0
Inst_6P_10C_1H_2PP_3Co_1.data;OPT;33;1487;1487;703;212.924;206.695;6.22077;975;5304;0
Inst_6P_10C_1H_2PP_3Co_2.data;OPT;26;1057;1057;356;51.287;47.77;3.51105;420;2408;0
Inst_6P_10C_1H_2PP_3Co_4.data;OPT;27;1401;1401;581;59.8149;56.6498;3.15936;1020;3700;0
Inst_6P_10C_1H_2PP_3Co_5.data;;57;1347;1342;662;3601.01;3590.2;10.8002;922;4441;0.00371195
Inst_6P_10C_1H_2PP_3Co_7.data;OPT;23;1379;1379;631;34.6049;32.3577;2.24335;721;2641;0
Inst_6P_10C_1H_2PP_3Co_8.data;OPT;62;1694;1694;825;1508.98;1486.97;21.9994;1080;4607;0
Inst_6P_10C_1H_2PP_3Co_9.data;;203;1917;1847;1000;3601.03;3538.71;62.2967;10155;5050;0.0365154
