;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_1H_2PP_3Co_10.data;;165;4520;3716;2873;3601.43;1495.33;2106.03;32438;42964;0.177876
Inst_6P_30C_1H_2PP_3Co_12.data;;104;3787;2886;1981;3602.86;2838.07;764.715;42230;42913;0.237919
Inst_6P_30C_1H_2PP_3Co_13.data;;137;3522;2628;1818;3601.58;2879.56;721.938;51837;38833;0.253833
Inst_6P_30C_1H_2PP_3Co_14.data;;95;3744;3032;2345;3608.28;2358.1;1250.11;32116;46867;0.190171
Inst_6P_30C_1H_2PP_3Co_1.data;;105;3467;2815;2002;3601.1;2980.61;620.407;46722;59895;0.188059
Inst_6P_30C_1H_2PP_3Co_2.data;;156;4256;3538;2728;3601.09;1495.71;2105.32;35070;42377;0.168703
Inst_6P_30C_1H_2PP_3Co_4.data;;78;4206;3545;2193;3601.59;3227.47;374.051;46276;56228;0.157156
Inst_6P_30C_1H_2PP_3Co_6.data;;80;3532;2906;1919;3601.1;3038.76;562.254;41169;52735;0.177237
Inst_6P_30C_1H_2PP_3Co_7.data;;86;3453;2739;1872;3610.17;2407.42;1202.68;40693;37582;0.206777
Inst_6P_30C_1H_2PP_3Co_8.data;;54;3502;2729;1839;3601.06;3252;349.023;29240;29855;0.220731
