;Status;Iteration;Upper;Lower;Initial LB;Total time;Time to solve Masters;Time to solve Subs;Nb Feas cut; Nb Opt cut ; Gap
Inst_6P_30C_1H_2PP_3Co_10.data;;53;4524;3687;2873;3601.09;2283.35;1317.68;26116;39082;0.185013
Inst_6P_30C_1H_2PP_3Co_12.data;;40;3739;2898;1981;3601.09;2778.45;822.565;27871;35172;0.224926
Inst_6P_30C_1H_2PP_3Co_13.data;;41;3507;2611;1818;3601.87;2364.28;1237.5;37171;34306;0.255489
Inst_6P_30C_1H_2PP_3Co_14.data;;57;3658;3038;2345;3601.12;2258.95;1342.06;23044;37661;0.169492
Inst_6P_30C_1H_2PP_3Co_1.data;;67;3468;2817;2002;3601.13;2663.24;937.803;34094;47802;0.187716
Inst_6P_30C_1H_2PP_3Co_2.data;;52;4421;3507;2728;3601.12;2271.48;1329.54;26295;35100;0.206741
Inst_6P_30C_1H_2PP_3Co_4.data;;44;4216;3454;2193;3601.12;2994.4;606.641;36199;41556;0.18074
Inst_6P_30C_1H_2PP_3Co_6.data;;38;3551;2909;1919;3610.68;2819.46;791.155;25627;34982;0.180794
Inst_6P_30C_1H_2PP_3Co_7.data;;49;3528;2749;1872;3601.13;2306.23;1294.8;33838;28903;0.220805
Inst_6P_30C_1H_2PP_3Co_8.data;;37;3615;2696;1839;3601.08;2990.79;610.235;26561;29897;0.254219
